127.0.0.1 - - [11/Oct/2023:13:08:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Oct/2023:13:08:05 +0530] "GET /JSTL/sql.jsp HTTP/1.1" 500 3669
0:0:0:0:0:0:0:1 - - [11/Oct/2023:13:08:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Oct/2023:13:10:15 +0530] "GET /JSTL/sql.jsp HTTP/1.1" 500 3679
0:0:0:0:0:0:0:1 - - [11/Oct/2023:13:10:34 +0530] "GET /JSTL/sql.jsp HTTP/1.1" 500 2111
0:0:0:0:0:0:0:1 - - [11/Oct/2023:13:13:54 +0530] "GET /JSTL/sql.jsp HTTP/1.1" 500 2111
0:0:0:0:0:0:0:1 - - [11/Oct/2023:13:13:54 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Oct/2023:13:17:45 +0530] "GET /JSTL/sql.jsp HTTP/1.1" 500 2111
0:0:0:0:0:0:0:1 - - [11/Oct/2023:13:19:29 +0530] "GET /JSTL/sql.jsp HTTP/1.1" 500 2111
0:0:0:0:0:0:0:1 - - [11/Oct/2023:13:21:47 +0530] "GET /JSTL/sql.jsp HTTP/1.1" 200 1785
